2024/01/11 11:44:57 Time: 2024-01-11 11:44:57.426352 +0100 CET m=+1671.095867701, Method: GET, Path: /dictionary/V, Status: 404, Duration: 1.0019ms
2024/01/11 11:47:24 Time: 2024-01-11 11:47:24.785566 +0100 CET m=+1818.455081701, Method: DELETE, Path: /dictionary/delete/DDDDDDDDDDDDDDDDDDDDDD, Status: 404, Duration: 0s
2024/01/11 11:48:04 Time: 2024-01-11 11:48:04.0280992 +0100 CET m=+33.979399101, Method: DELETE, Path: /dictionary/delete, Status: 400, Duration: 608.8µs
2024/01/11 11:48:23 Time: 2024-01-11 11:48:23.065415 +0100 CET m=+53.016714901, Method: DELETE, Path: /dictionary/delete, Status: 400, Duration: 95.8µs
2024/01/11 11:49:17 Time: 2024-01-11 11:49:17.6774038 +0100 CET m=+107.628703701, Method: POST, Path: /dictionary/add, Status: 401, Duration: 0s
2024/01/11 11:49:25 Time: 2024-01-11 11:49:25.0422577 +0100 CET m=+114.993557601, Method: POST, Path: /dictionary/add, Status: 400, Duration: 528.3µs
2024/01/11 11:49:55 Time: 2024-01-11 11:49:55.9805605 +0100 CET m=+7.765376201, Method: POST, Path: /dictionary/add, Status: 400, Duration: 529.9µs
2024/01/11 11:50:13 Time: 2024-01-11 11:50:13.2380145 +0100 CET m=+25.022830201, Method: DELETE, Path: /dictionary/delete/huhuhu, Status: 404, Duration: 717µs
2024/01/11 11:50:17 Time: 2024-01-11 11:50:17.2907202 +0100 CET m=+29.075535901, Method: DELETE, Path: /dictionary/delete/h, Status: 404, Duration: 963.1µs
2024/01/11 11:50:36 Time: 2024-01-11 11:50:36.3050799 +0100 CET m=+48.089895601, Method: GET, Path: /dictionary/te, Status: 404, Duration: 0s
2024/01/11 11:50:41 Time: 2024-01-11 11:50:41.2691468 +0100 CET m=+53.053962501, Method: GET, Path: /dictionary, Status: 200, Duration: 437.2µs
2024/01/11 11:50:46 Time: 2024-01-11 11:50:46.3820974 +0100 CET m=+58.166913101, Method: GET, Path: /dictionary, Status: 200, Duration: 342.4µs
2024/01/11 11:50:59 Time: 2024-01-11 11:50:59.1498832 +0100 CET m=+70.934698901, Method: GET, Path: /dictionary/Variables, Status: 200, Duration: 216.1µs
2024/01/11 11:52:33 Time: 2024-01-11 11:52:33.3344056 +0100 CET m=+15.406533501, Method: POST, Path: /dictionary/add, Status: 409, Duration: 526.6µs
2024/01/11 11:52:39 Time: 2024-01-11 11:52:39.0208236 +0100 CET m=+21.092951501, Method: POST, Path: /dictionary/add, Status: 200, Duration: 796.8µs
2024/01/11 11:53:01 Time: 2024-01-11 11:53:01.8978756 +0100 CET m=+43.970003501, Method: POST, Path: /dictionary/add, Status: 400, Duration: 464.8µs
2024/01/11 11:53:07 Time: 2024-01-11 11:53:07.4386256 +0100 CET m=+49.510753501, Method: POST, Path: /dictionary/add, Status: 400, Duration: 0s
2024/01/11 16:01:18 Time: 2024-01-11 16:01:18.3885808 +0100 CET m=+12.157867801, Method: POST, Path: /dictionary/add, Status: 400, Duration: 4.6797ms
2024/01/11 16:01:30 Time: 2024-01-11 16:01:30.5047458 +0100 CET m=+24.274032801, Method: POST, Path: /dictionary/add, Status: 200, Duration: 306.1µs
2024/01/11 16:29:28 Time: 2024-01-11 16:29:28.9900266 +0100 CET m=+15.697081001, Method: GET, Path: /dictionary, Status: 401, Duration: 0s
2024/01/11 16:33:51 Time: 2024-01-11 16:33:51.8368815 +0100 CET m=+12.193593301, Method: GET, Path: /dictionary, Status: 401, Duration: 41.7µs
2024/01/11 16:33:53 Time: 2024-01-11 16:33:53.5256971 +0100 CET m=+13.882408901, Method: GET, Path: /dictionary, Status: 401, Duration: 1.0145ms
2024/01/11 16:33:55 Time: 2024-01-11 16:33:55.6167771 +0100 CET m=+15.973488901, Method: GET, Path: /dictionary, Status: 401, Duration: 821µs
2024/01/11 16:33:59 Time: 2024-01-11 16:33:59.783316 +0100 CET m=+20.140027801, Method: GET, Path: /dictionary/Variables, Status: 200, Duration: 0s
2024/01/11 16:34:03 Time: 2024-01-11 16:34:03.6062777 +0100 CET m=+23.962989501, Method: GET, Path: /dictionary/t, Status: 404, Duration: 917.8µs
2024/01/11 16:34:12 Time: 2024-01-11 16:34:12.9553856 +0100 CET m=+33.312097401, Method: DELETE, Path: /dictionary/delete/test, Status: 404, Duration: 197.6µs
2024/01/11 16:34:27 Time: 2024-01-11 16:34:27.286691 +0100 CET m=+47.643402801, Method: DELETE, Path: /dictionary/delete/testa, Status: 200, Duration: 1.4245ms
